0,000;1,251;0,000;0,688;0,375;0,688;3,503;2,565;3,566;2,065;1,877;1,189;1,001;9,009;5,756;3,065;2,315;1,939;1,627;0,938;0,000;0,000;9,447;8,821;7,382;4,942;2,440;0,438;0,000;0,000;0,000;10,010;11,824;12,262;9,134;5,130;2,565;0,438;0,000;0,000;0,000;9,447;13,763;13,576;10,886;8,759;5,255;0,688;0,313;0,250;1,877;14,139;18,018;19,331;15,453;7,695;3,754;0,000;1,376;12,262;13,951;16,641;14,639;12,262;5,318;0,000;1,251;3,566;11,073;12,762;15,891;12,012;5,943;6,006;5,693;0,000;5,630;10,448;8,759;10,448;12,825;9,634;11,324;0,000;3,816;6,944;10,072;10,448;9,572;9,947;12,888;0,000;0,000;5,318;6,569;11,261;11,511;15,390;15,765;0,000;0,000;0,000;1,189;5,693;7,632;7,445;0,000;0,000;0,000;0,938;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,010;1,564;0,000;1,001;0,938;0,938;3,879;2,940;3,941;2,440;2,252;1,752;1,314;9,509;6,194;3,253;2,690;2,377;1,877;1,189;0,000;0,000;9,822;9,196;7,883;5,318;2,690;0,563;0,000;0,000;0,000;10,448;12,199;12,450;9,447;5,380;2,628;0,438;0,000;0,000;0,000;10,323;14,452;14,264;11,198;9,009;5,255;0,500;0,063;0,000;1,314;14,389;18,268;19,644;15,703;7,445;3,441;0,000;0,813;12,262;14,264;16,328;14,452;11,949;4,630;0,000;0,500;2,940;10,823;12,137;14,952;11,136;4,817;5,318;5,005;0,000;5,005;9,322;7,069;9,071;11,386;8,070;10,072;0,000;2,815;5,318;8,133;8,884;7,382;8,446;11,136;0,000;0,000;4,379;5,443;10,010;9,697;13,576;14,014;0,000;0,000;0,000;0,938;4,817;5,943;5,380;0,000;0,000;0,000;1,064;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,020;2,190;0,000;1,376;1,376;1,439;4,192;3,253;4,317;2,940;2,628;2,252;1,752;9,885;6,882;3,503;3,191;2,753;2,190;1,376;0,000;0,000;10,135;9,447;8,196;5,568;2,815;0,626;0,000;0,000;0,000;10,698;12,450;12,637;9,634;5,443;2,565;0,188;0,000;0,000;0,000;10,761;14,702;14,890;11,511;9,196;5,255;0,313;0,000;0,000;0,938;14,702;18,581;19,894;15,828;6,882;3,065;0,000;0,500;12,199;14,264;16,078;14,201;11,449;3,816;0,000;0,000;2,190;10,385;11,511;13,388;10,323;3,816;4,317;4,129;0,000;4,129;7,883;5,380;7,382;9,634;6,256;8,446;0,000;1,251;4,004;6,819;7,007;5,756;6,631;8,821;0,000;0,000;2,502;4,630;8,196;7,257;11,198;11,198;0,000;0,000;0,000;0,563;4,129;4,504;3,503;0,000;0,000;0,000;1,126;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,030;2,878;0,000;1,752;1,814;1,877;4,442;3,503;4,755;3,253;3,003;2,628;2,252;10,135;7,382;4,004;3,503;2,940;2,502;1,564;0,375;0,000;10,323;9,634;8,571;5,693;2,940;0,688;0,000;0,000;0,000;10,823;12,700;12,762;9,822;5,568;2,565;0,063;0,000;0,000;0,000;11,136;14,827;15,077;11,699;9,322;5,193;0,000;0,000;0,000;0,375;15,140;18,706;19,957;15,953;6,256;2,690;0,000;0,188;12,137;14,139;15,828;13,826;10,886;2,878;0,000;0,000;1,064;9,760;10,823;11,761;9,071;2,502;2,753;2,815;0,000;3,003;5,818;4,129;6,006;7,632;5,067;6,631;0,000;0,125;2,878;5,443;5,505;4,504;4,630;6,569;0,000;0,000;0,688;3,378;6,444;5,505;8,383;8,633;0,000;0,000;0,000;0,000;3,003;2,502;2,002;0,000;0,000;0,000;1,064;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,040;3,441;0,313;2,127;2,502;2,377;4,630;4,004;5,130;3,503;3,441;2,878;2,628;10,323;7,883;4,379;3,754;3,191;2,753;1,627;0,563;0,000;10,385;9,822;8,696;5,756;3,065;0,626;0,000;0,000;0,000;10,886;12,888;12,825;9,885;5,630;2,440;0,000;0,000;0,000;0,000;11,261;14,890;15,265;11,761;9,384;5,005;0,000;0,000;0,000;0,000;15,453;18,768;19,894;15,891;5,756;2,252;0,000;0,000;11,949;14,014;15,202;12,762;10,323;1,877;0,000;0,000;0,000;9,071;9,885;10,197;7,570;1,126;1,814;1,627;0,000;1,439;4,567;2,565;5,380;5,881;4,004;5,193;0,000;0,000;1,564;4,254;4,630;2,878;2,753;5,130;0,000;0,000;0,000;1,877;5,255;3,378;6,068;5,568;0,000;0,000;0,000;0,000;1,939;0,563;1,189;0,000;0,000;0,000;0,938;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,050;4,004;0,751;2,440;3,065;2,878;5,005;4,379;5,443;3,754;3,754;3,128;2,940;10,260;8,258;4,755;4,192;3,441;3,003;1,689;0,563;0,000;10,510;9,885;8,946;5,881;3,128;0,500;0,000;0,000;0,000;10,948;13,013;12,888;9,947;5,693;2,002;0,000;0,000;0,000;0,000;11,324;14,952;15,202;11,824;9,322;4,755;0,000;0,000;0,000;0,000;15,077;18,831;19,519;15,703;5,005;1,814;0,000;0,000;11,699;13,889;14,514;12,262;9,071;1,001;0,000;0,000;0,000;8,070;8,446;8,759;5,693;0,000;0,626;0,500;0,000;0,000;3,065;0,688;4,567;4,817;2,940;4,379;0,000;0,000;0,125;3,253;3,879;1,126;1,752;4,066;0,000;0,000;0,000;0,938;4,192;2,502;4,755;4,254;0,000;0,000;0,000;0,000;1,001;0,000;0,438;0,000;0,000;0,000;0,813;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,060;4,379;1,251;2,878;3,441;3,441;5,318;4,755;5,756;4,066;4,066;3,441;3,253;10,761;8,696;5,067;4,567;3,629;3,128;1,752;0,500;0,000;10,886;10,010;9,009;6,006;3,065;0,188;0,000;0,000;0,000;10,948;13,013;12,950;10,010;5,630;1,689;0,000;0,000;0,000;0,000;11,198;14,952;14,890;11,636;9,196;4,192;0,000;0,000;0,000;0,000;15,077;18,706;19,144;15,390;4,504;1,501;0,000;0,000;11,261;13,576;13,826;11,949;8,008;0,063;0,000;0,000;0,000;6,631;7,507;6,882;4,817;0,000;0,000;0,188;0,000;0,000;2,065;0,000;4,066;4,317;1,877;3,191;0,000;0,000;0,000;2,377;2,815;0,000;0,500;2,502;0,000;0,000;0,000;0,000;2,815;1,689;2,315;2,315;0,000;0,000;0,000;0,000;0,250;0,000;0,000;0,000;0,000;0,000;0,813;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,070;4,817;1,501;3,253;3,816;3,816;5,630;5,005;6,068;4,254;4,317;3,629;3,566;11,136;9,071;5,380;4,942;3,941;3,253;1,814;0,375;0,000;10,698;10,197;9,259;6,131;3,065;0,000;0,000;0,000;0,000;11,073;12,950;12,950;10,072;5,630;1,314;0,000;0,000;0,000;0,000;11,136;14,952;14,389;11,511;9,071;3,754;0,000;0,000;0,000;0,000;14,890;18,393;18,768;15,015;4,004;1,439;0,000;0,000;10,761;12,950;13,138;11,574;7,132;0,000;0,000;0,000;0,000;5,443;6,694;6,194;4,379;0,000;0,000;0,000;0,000;0,000;1,251;0,000;3,441;3,691;1,314;2,065;0,000;0,000;0,000;1,501;1,877;0,000;0,000;0,500;0,000;0,000;0,000;0,000;1,752;0,751;0,563;1,064;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,813;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,080;5,255;2,002;3,629;4,254;4,129;5,881;5,318;6,444;4,567;4,567;3,816;4,004;11,449;9,384;5,881;5,130;4,379;3,316;1,877;0,188;0,000;10,948;10,448;9,447;6,319;3,065;0,000;0,000;0,000;0,000;11,198;13,388;13,013;10,135;5,505;1,189;0,000;0,000;0,000;0,000;11,011;14,890;14,076;11,261;8,884;3,378;0,000;0,000;0,000;0,000;14,514;18,080;18,205;14,201;3,754;1,251;0,000;0,000;10,323;12,262;12,512;11,386;6,381;0,000;0,000;0,000;0,000;4,442;5,818;5,818;3,566;0,000;0,000;0,000;0,000;0,000;0,500;0,000;2,565;3,003;0,813;0,938;0,000;0,000;0,000;0,438;1,189;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,938;0,063;0,000;0,500;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,688;0,000;0,000;0,000;0,000;0,000;0,000;0,000
0,090;5,943;2,628;3,941;4,630;4,504;6,131;5,380;6,819;4,880;4,942;4,004;4,254;11,824;9,572;6,319;5,443;4,567;3,503;2,002;0,250;0,000;11,261;10,635;9,822;6,569;3,128;0,000;0,000;0,000;0,000;11,386;13,200;13,075;10,197;5,568;0,938;0,000;0,000;0,000;0,000;10,886;14,764;13,638;11,261;8,884;3,065;0,000;0,000;0,000;0,000;14,326;17,705;17,705;13,889;3,441;1,126;0,000;0,000;9,509;11,636;11,887;11,011;5,693;0,000;0,000;0,000;0,000;3,566;5,005;5,380;3,316;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,877;2,315;0,000;0,250;0,000;0,000;0,000;0,000;0,751;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,813;0,000;0,000;0,375;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,250;0,688;0,000;0,000;0,000;0,000;0,000;0,000;0,000
